wnid,noun
n00077856,obtainment
n00077856,obtention
n00077981,catching
n00077981,contracting
n00078217,incurring
n00078393,moneymaking
n00078536,annexation
n00078821,pork-barreling
n00079018,purchase
n00079212,redemption
n00079212,repurchase
n00079212,buyback
n00079398,trading
n00079603,bond trading
n00079603,bond-trading activity
n00079752,program trading
n00079908,short sale
n00079908,short selling
n00080096,short covering
n00080242,insider trading
n00080474,naked option
n00080619,covered option
n00080743,call option
n00080743,call
n00080968,put option
n00080968,put
n00081174,straddle
n00081395,incentive option
n00081395,incentive stock option
n00081572,buying
n00081572,purchasing
n00081836,shopping
n00082081,marketing
n00082223,mail-order buying
n00082223,catalog buying
n00082347,viatication
n00082347,viaticus
n00082525,acceptance
n00082754,succession
n00082754,taking over
n00082870,assumption
n00082870,laying claim
n00083260,assumption
n00083448,position
n00083585,inheritance
n00083585,heritage
n00083729,procurement
n00083729,procurance
n00083729,procural
n00083975,appropriation
n00084371,borrowing
n00084371,adoption
n00084642,naturalization
n00084642,naturalisation
n00084895,misappropriation
n00085041,preemption
n00085041,pre-emption
n00085219,seizure
n00085432,usurpation
n00085678,confiscation
n00085678,arrogation
n00085829,distress
n00085829,distraint
n00086140,expropriation
n00086297,impoundment
n00086297,impounding
n00086297,internment
n00086297,poundage
n00086547,drug bust
n00086547,drugs bust
n00086654,impress
n00086654,impressment
n00086809,occupation
n00086809,occupancy
n00086809,moving in
n00087073,preoccupancy
n00087073,preoccupation
n00087218,sequestration
n00087218,requisition
n00087423,grant
n00087423,subsidization
n00087423,subsidisation
n00087663,award
n00087663,awarding
n00087849,addiction
n00088154,block grant
n00088367,grant-in-aid
n00088481,capture
n00088481,gaining control
n00088481,seizure
n00088725,apprehension
n00088725,arrest
n00088725,catch
n00088725,collar
n00088725,pinch
n00088725,taking into custody
n00089027,conquest
n00089027,conquering
n00089027,subjection
n00089027,subjugation
n00089234,enslavement
n00089351,restitution
n00089351,return
n00089351,restoration
n00089351,regaining
n00089657,clawback
n00089891,repossession
n00090076,foreclosure
n00090253,reception
n00090253,receipt
n00090393,appointment
n00090610,comb-out
